S CC TrialNum Contrast TargetType PrimeRelation PrimeShown TargetShown RT score
S1 cc1 1 Degraded NW Unr sweet PORDLY 762 C
S1 cc1 2 Degraded LF Unr burst CAKE 794 C
S1 cc1 3 Clear HF Unr counsel PARTY 506 C
S1 cc1 4 Degraded NW Unr rose FLIMER 612 C
S1 cc1 5 Clear HF Rel mark SPOT 491 C
S1 cc1 6 Degraded NW Unr excuse DOMP 631 C
S1 cc1 7 Degraded NW Unr green BIETER 637 C
S1 cc1 8 Degraded NW Unr stove UNBERM 690 C
S1 cc1 9 Degraded HF Rel length LONG 486 C
S1 cc1 10 Degraded HF Unr vanish YEAR 482 C
S1 cc1 11 Clear HF Rel town COUNTRY 542 C
S1 cc1 12 Clear NW Unr heel PAIME 583 C
S1 cc1 13 Degraded NW Unr dull ENSUCT 591 E
S1 cc1 14 Degraded NW Unr husk DEAT 799 C
S1 cc1 15 Degraded HF Rel must HAVE 766 C
S1 cc1 16 Degraded NW Unr ceiling HILK 670 C
S1 cc1 17 Clear NW Unr brush NOAL 675 C
S1 cc1 18 Degraded NW Unr peel NAFTS 648 C
S1 cc1 19 Degraded NW Unr strange NONWAIM 1164 C
S1 cc1 20 Clear NW Unr where NENTS 701 C
S1 cc1 21 Degraded LF Unr musk TUSK 993 C
S1 cc1 22 Clear LF Unr seal CARDS 552 C
S1 cc1 23 Degraded NW Unr drug VELP 738 C
S1 cc1 24 Clear HF Rel brawl FIGHT 499 C
S1 cc1 25 Clear NW Unr stain SACE 671 C
S1 cc1 26 Degraded LF Rel mule DONKEY 643 C
S1 cc1 27 Degraded LF Unr pound HANGER 904 C
S1 cc1 28 Degraded HF Rel slap FACE 501 C
S1 cc1 29 Clear LF Rel juggler VEIN 640 C
S1 cc1 30 Clear LF Rel destiny GOAL 484 C
S1 cc1 31 Degraded HF Rel bleach WHITE 592 E
S1 cc1 32 Degraded NW Unr male BOAFE 1216 C
S1 cc1 33 Clear NW Unr death HESTEL 1085 C
S1 cc1 34 Clear LF Rel famine HUNGER 497 C
S1 cc1 35 Clear NW Unr liberty TRUDE 1517 E
S1 cc1 36 Degraded NW Unr tire RESATH 855 C
S1 cc1 37 Clear NW Unr lobster HICE 1044 C
S1 cc1 38 Degraded HF Rel serial NUMBER 618 C
S1 cc1 39 Clear HF Rel nephew UNCLE 816 C
S1 cc1 40 Degraded NW Unr whip BERE 719 C
S1 cc1 41 Degraded HF Rel voice SOUND 753 C
S1 cc1 42 Degraded NW Unr boring TICED 946 E
S1 cc1 43 Degraded NW Unr minute RERN 1187 C
S1 cc1 44 Clear LF Rel symbol SIGN 708 C
S1 cc1 45 Clear NW Unr trash FONGE 629 C
S1 cc1 46 Degraded NW Unr palm GACKEL 715 C
S1 cc1 47 Degraded NW Unr mammal SORN 1055 C
S1 cc1 48 Degraded HF Unr pack GIVE 548 C
S1 cc1 49 Clear LF Unr pear ORANGE 632 C
S1 cc1 50 Degraded NW Unr artery VACER 766 C
S1 cc1 51 Degraded HF Unr glove WALK 766 C
S1 cc1 52 Degraded NW Unr avenue POSTSIRM 1102 C
S1 cc1 53 Clear HF Unr private CENTER 626 C
S1 cc1 54 Degraded LF Unr prank HOSTAGE 568 C
S1 cc1 55 Degraded NW Unr liver GIPER 640 C
S1 cc1 56 Clear LF Unr scallop SHIRT 501 C
S1 cc1 57 Clear HF Unr lips KNOW 544 C
S1 cc1 58 Degraded NW Unr sail WIET 746 C
S1 cc1 59 Degraded NW Unr boots DERON 698 C
S1 cc1 60 Degraded LF Unr rise DUMB 606 C
S1 cc1 61 Degraded NW Unr poise UNGURB 725 C
S1 cc1 62 Clear HF Rel fact FIGURE 440 C
S1 cc1 63 Degraded HF Rel mirage VISION 804 C
S1 cc1 64 Degraded HF Rel complex HARD 532 C
S1 cc1 65 Degraded LF Unr warmth SKIN 494 C
S1 cc1 66 Degraded NW Unr exam SARTED 665 C
S1 cc1 67 Clear NW Unr learn PARN 813 C
S1 cc1 68 Clear LF Rel straw SODA 460 C
S1 cc1 69 Clear NW Unr live DEFITY 665 C
S1 cc1 70 Clear NW Unr bicycle FANDER 1020 C
S1 cc1 71 Clear HF Unr dock HEAD 499 C
S1 cc1 72 Clear LF Unr reel HABIT 719 C
S1 cc1 73 Degraded HF Unr since BOARD 737 C
S1 cc1 74 Degraded NW Unr ball DISBAMP 595 C
S1 cc1 75 Clear NW Unr risk DIPER 698 E
S1 cc1 76 Degraded NW Unr dark GAKER 1061 C
S1 cc1 77 Clear NW Unr biscuit TORD 1161 C
S1 cc1 78 Degraded NW Unr alcohol OVERBLAPS 906 C
S1 cc1 79 Clear HF Rel journal WRITE 486 C
S1 cc1 80 Clear NW Unr launch HORME 722 C
S1 cc1 81 Degraded NW Unr crowd HADER 612 E
S1 cc1 82 Clear LF Unr throne WITCH 562 C
