subj	itemID	cond	Acc
S01	i001	UD	1
S01	i002	RD	1
S01	i003	UC	1
S01	i004	RD	1
S01	i005	RD	1
S01	i006	UC	1
S01	i007	RD	1
S01	i008	UD	1
S01	i009	RC	1
S01	i010	UD	1
S01	i011	UC	1
S01	i012	RD	1
S01	i013	UD	1
S01	i014	RC	1
S01	i015	UC	1
S01	i016	RD	0
S01	i017	UC	1
S01	i018	RD	1
S01	i019	RD	1
S01	i020	UD	1
S01	i021	UC	1
S01	i022	UD	0
S01	i023	RD	1
S01	i024	RC	1
S01	i025	UD	1
S01	i026	RD	1
S01	i027	RD	1
S01	i028	UD	1
S01	i029	UC	1
S01	i030	RC	1
S01	i031	RD	1
S01	i032	RD	1
S01	i033	UD	1
S01	i034	RC	1
S01	i035	RC	1
S01	i036	RC	1
S01	i037	RC	1
S01	i038	RC	1
S01	i039	RC	1
S01	i040	UC	0
S01	i041	UD	1
S01	i042	UC	1
S01	i043	UC	1
S01	i044	RC	1
S01	i045	UD	1
S01	i046	RC	1
S01	i047	RD	1
S01	i048	UC	1
S01	i049	RC	1
S01	i050	RC	1
S01	i051	UC	1
S01	i052	UC	1
S01	i053	RC	1
S01	i054	UD	1
S01	i055	UD	1
S01	i056	RC	1
S01	i057	RD	1
S01	i058	UC	1
S01	i059	UC	1
S01	i060	RC	1
S01	i061	RC	1
S01	i062	UD	1
S01	i063	UC	1
S01	i064	RC	1
S01	i065	RD	1
S01	i066	UD	1
S01	i067	UC	1
S01	i068	RD	1
S01	i069	UC	1
S01	i070	RD	1
S01	i071	UC	0
S01	i072	UD	1
S01	i073	RD	1
S01	i074	UC	1
S01	i075	UC	1
S01	i076	UC	1
S01	i077	RD	1
S01	i078	UD	1
S01	i079	UC	1
S01	i080	RD	1
S01	i081	UC	1
S01	i082	UC	1
S01	i083	RC	1
S01	i084	UD	1
S01	i085	UC	1
S01	i086	UD	1
S01	i087	UC	1
S01	i088	UC	1
S01	i089	RC	1
S01	i090	RD	1
S01	i091	RC	1
S01	i092	RD	1
S01	i093	UD	1
S01	i094	RC	0
S01	i095	RD	1
S01	i096	UD	1
S01	i097	UD	1
S01	i098	RC	1
S01	i099	RC	1
S01	i100	RC	1
S01	i101	UD	1
S01	i102	RD	1
S01	i103	RD	1
S01	i104	RD	1
S01	i105	RD	0
