subj	itemID	cond	Acc
s01	i001	std	1
s01	i004	alt	1
s01	i006	new	1
s01	i008	new	1
s01	i009	std	1
s01	i011	alt	1
s01	i014	new	1
s01	i016	new	1
s01	i017	std	1
s01	i020	std	1
s01	i022	std	0
s01	i024	std	1
s01	i026	new	1
s01	i027	new	1
s01	i029	std	1
s01	i032	std	1
s01	i034	alt	1
s01	i035	new	1
s01	i038	alt	1
s01	i039	std	1
s01	i042	std	1
s01	i043	std	1
s01	i045	alt	1
s01	i048	new	1
s01	i049	alt	1
s01	i052	alt	1
s01	i053	std	1
s01	i056	std	1
s01	i057	alt	1
s01	i060	std	1
s01	i062	alt	1
s01	i064	std	0
s01	i065	new	0
s01	i067	std	1
s01	i070	alt	1
s01	i072	new	1
s01	i074	std	1
s01	i076	std	1
s01	i077	new	1
s01	i079	std	1
s01	i081	alt	1
s01	i084	std	1
s01	i085	alt	1
s01	i087	alt	1
s01	i090	alt	1
s01	i092	new	1
s01	i093	std	1
s01	i096	new	1
s01	i097	new	1
s01	i100	std	1
s01	i101	alt	1
s01	i104	new	1
s01	i105	new	1
s01	i107	alt	1
s01	i110	new	1
s01	i112	alt	1
s01	i113	new	1
s01	i115	alt	1
s01	i117	new	1
s01	i120	new	1
s01	i121	std	1
s01	i124	new	1
s01	i126	new	0
s01	i128	new	1
s01	i130	alt	0
s01	i131	alt	1
s01	i134	std	1
s01	i136	new	1
s01	i138	std	1
s01	i139	std	1
s01	i142	std	1
s01	i143	alt	1
s01	i145	alt	1
s01	i148	new	1
s01	i149	new	1
s01	i152	alt	1
s01	i154	alt	1
s01	i156	alt	1
s01	i158	new	1
s01	i160	new	1
s01	i161	new	1
s01	i164	new	1
s01	i165	std	1
s01	i168	std	1
s01	i169	alt	1
s01	i171	std	1
s01	i174	alt	1
s01	i176	new	1
s01	i178	alt	0
s01	i180	alt	1
s01	i181	std	1
s01	i184	std	0
s01	i186	alt	1
s01	i187	new	1
s01	i189	alt	1
s01	i192	std	1
s01	i194	std	1
s01	i195	std	1
s01	i198	alt	1
s01	i199	alt	1
s01	i202	std	1
s01	i204	new	1
s01	i206	std	1
s01	i207	new	1
s01	i209	new	1
s01	i212	alt	1
s01	i213	new	1
s01	i215	alt	0
s01	i217	alt	1
s01	i219	new	1
s01	i222	new	1
s01	i223	new	0
s01	i226	std	1
s01	i228	alt	1
s01	i229	std	1
s01	i232	alt	0
s01	i234	new	1
s01	i235	alt	1
s01	i237	std	1
s01	i240	alt	1
s02	i002	alt	1
s02	i003	new	1
s02	i006	std	1
s02	i008	std	0
s02	i010	alt	0
s02	i012	new	1
s02	i014	std	1
s02	i016	std	1
s02	i018	alt	1
s02	i019	alt	0
s02	i021	alt	0
